,age,review_count,chain,stars,tip_count,checkin_count,density,category_density
74,4,0,1,1.045756006752024,0,0,25.0,0.16
205,2,0,3,0.8551363003482705,0,0,330.0,0.2545454545454545
262,2,3,1,1.164556554267394,6,2,188.0,0.02127659574468085
394,1,0,1,0.0,0,0,138.0,0.050724637681159424
411,1,0,1,1.178015517500285,0,0,140.0,0.37142857142857133
433,2,2,2,0.6858932019303138,3,2,29.0,0.20689655172413796
478,2,0,1,0.9540509517284688,0,0,35.0,0.057142857142857134
637,3,0,1,1.2903030894007443,0,0,36.0,0.5277777777777778
691,1,0,2,0.8340509667266259,0,0,27.0,0.037037037037037035
913,1,1,1,1.1055032601152066,0,0,112.0,0.1875
922,1,0,1,1.432132488149349,0,0,125.0,0.256
935,1,1,1,0.8440197996898703,0,0,117.0,0.13675213675213674
942,3,0,1,0.8632388529659545,0,0,97.0,0.020618556701030927
1069,1,0,1,1.2276022551002488,0,0,418.0,0.045454545454545456
1090,1,0,1,1.2873200252218302,0,0,270.0,0.2037037037037037
1163,2,0,1,1.5772613980937438,0,0,199.0,0.1658291457286432
1400,2,0,1,1.344305286685786,0,0,15.0,0.06666666666666668
1427,1,0,1,1.000129302339556,0,0,187.0,0.0374331550802139
1430,3,0,1,0.0,0,0,46.0,0.06521739130434782
1477,3,0,1,1.4607654776170775,0,0,79.0,0.10126582278481013
1748,2,2,1,1.5707575362971498,1,2,3.0,0.3333333333333333
1765,3,0,1,1.442571120882553,0,0,38.0,0.2631578947368421
1847,5,0,1,1.36843154065728,0,0,11.0,0.18181818181818185
1888,2,0,1,1.1633579574449944,0,5,78.0,0.2307692307692308
1960,2,0,1,1.5661643583693157,0,0,24.0,0.16666666666666666
1988,2,1,1,0.9969635694334436,1,0,38.0,0.05263157894736842
2208,2,1,1,1.1636720487901202,1,0,116.0,0.04310344827586207
2231,4,1,1,0.7578204747156111,1,1,49.0,0.42857142857142855
2273,1,0,1,0.8614394207445845,0,0,490.0,0.29183673469387755
2281,2,0,1,1.055599008717088,0,0,3.0,1.0
2412,1,1,1,1.332151008431818,0,0,59.0,0.2033898305084746
2427,1,1,1,1.3321216305393748,3,2,70.0,0.028571428571428567
2585,3,0,5,0.0,0,1,19.0,0.10526315789473684
2655,1,1,1,1.6322158913091758,1,0,31.0,0.3548387096774194
2734,4,2,1,1.293105605831817,4,1,138.0,0.3478260869565217
2822,2,0,1,0.0,0,0,38.0,0.13157894736842105
2909,3,1,6,1.3561215739842698,1,1,59.0,0.2542372881355932
2910,2,1,6,1.2428080949994829,2,5,38.0,0.15789473684210525
2947,2,0,1,1.5484930034789803,1,1,17.0,0.05882352941176471
3183,2,1,1,1.2755007178422322,0,0,8.0,0.25
3211,4,0,1,2.2972341039795063,0,0,31.0,0.1935483870967742
3242,2,2,2,0.6890791277443836,1,1,41.0,0.0975609756097561
3292,2,0,1,1.3745302260162062,0,0,374.0,0.11497326203208555
3322,1,1,1,1.240272470001402,1,2,11.0,0.09090909090909093
3401,2,2,1,1.4174435748004848,1,1,17.0,0.05882352941176471
3499,1,1,1,1.961516019441502,0,0,24.0,0.16666666666666666
3500,1,0,1,0.9069681181645994,0,0,201.0,0.07462686567164177
3519,1,1,1,1.5882315570648489,0,1,2.0,0.5
3533,2,2,1,2.04328072514201,0,0,9.0,0.4444444444444444
3599,1,1,1,1.2533497121930854,0,0,26.0,0.15384615384615385
3791,1,0,2,2.7471671288037407,0,1,26.0,0.2692307692307692
3803,3,2,1,0.8984817590652762,1,2,66.0,0.060606060606060615
3845,2,1,1,1.9221635576256182,0,3,10.0,0.1
3858,1,0,1,1.3006150410545758,2,1,111.0,0.0990990990990991
3874,1,2,1,1.9319106689806416,1,2,23.0,0.3043478260869565
3897,2,0,1,1.2028753119062583,0,0,96.0,0.04166666666666666
3938,2,0,1,1.7689728694730595,0,0,20.0,0.1
3950,1,0,1,1.4712439971470783,1,3,68.0,0.4558823529411765
3979,1,0,1,1.4450331104646883,0,0,425.0,0.15294117647058825
4018,2,0,1,1.4245834701856022,0,0,11.0,0.18181818181818185
4057,1,1,1,1.2634941505881263,1,0,74.0,0.3918918918918919
4232,1,1,1,1.132879341112759,0,0,469.0,0.14285714285714285
4406,2,0,1,0.0,0,0,42.0,0.07142857142857142
4412,2,0,1,1.297763184555865,0,0,16.0,0.3125
4433,1,0,1,1.69804915382073,0,0,4.0,0.25
4529,2,0,1,0.0,0,0,122.0,0.38524590163934425
4559,1,0,1,1.457781646884131,0,0,9.0,0.1111111111111111
4572,3,3,1,3.1278412393078767,0,1,12.0,0.08333333333333333
4619,1,0,2,0.8154427969278668,0,0,10.0,0.2
4620,1,1,2,1.1860884983568016,0,0,17.0,0.05882352941176471
4623,2,0,1,1.2145871816048812,0,0,14.0,0.14285714285714285
4633,4,1,1,1.411130701052915,0,0,14.0,0.07142857142857142
4674,2,1,1,1.3250537757903151,0,1,3.0,0.3333333333333333
4799,2,1,1,1.070562636827688,1,1,18.0,0.3333333333333333
4800,2,1,1,1.9214875627934989,2,1,201.0,0.07960199004975124
4869,3,1,1,0.8136230877976434,1,0,7.0,0.2857142857142857
4946,1,3,1,1.7162699066127969,1,0,9.0,0.2222222222222222
5041,3,1,2,1.1105537504484504,0,0,10.0,0.1
5160,2,1,1,1.727432609902018,1,2,98.0,0.5306122448979592
5295,1,0,1,2.165883915634389,0,0,122.0,0.5245901639344263
5315,1,1,1,1.2731741488057935,0,1,7.0,0.2857142857142857
5369,1,0,1,1.4968333952530344,0,0,17.0,0.1176470588235294
5422,2,0,1,0.8271711058021021,0,0,8.0,0.25
5488,1,1,1,2.0026314715665703,0,1,24.0,0.375
5491,1,0,1,1.1831401617007875,0,0,25.0,0.24
5507,2,0,1,1.6196791225741685,0,0,112.0,0.08035714285714286
5524,2,1,1,1.0547288531227057,0,0,69.0,0.2898550724637681
5536,2,0,1,1.3083347747381615,1,0,477.0,0.07127882599580712
5541,2,1,1,1.9999885714367351,0,1,2.0,0.5
5566,1,0,1,1.4055458262499645,0,0,48.0,0.10416666666666667
5604,3,4,1,1.7415680128990747,2,2,95.0,0.29473684210526313
5680,1,1,1,1.2254298343544388,0,0,60.0,0.03333333333333333
5719,2,0,1,0.8206800879635696,0,0,98.0,0.14285714285714285
5775,2,1,1,0.7784691033517163,2,1,78.0,0.038461538461538464
5842,1,2,2,2.179502312014304,0,1,97.0,0.15463917525773194
5944,1,0,1,0.0,0,0,104.0,0.19230769230769232
5947,2,3,1,1.8416104407284768,4,5,71.0,0.2535211267605634
5997,1,0,1,2.21059698806786,0,0,535.0,0.07476635514018691
6007,2,0,1,1.542938623467892,0,1,73.0,0.1506849315068493
6008,2,0,1,0.0,0,0,45.0,0.24444444444444444
6023,1,0,1,0.9999978260873348,0,0,1.0,1.0
6058,1,0,1,0.0,0,0,41.0,0.1951219512195122
6088,2,0,2,0.0,0,1,3.0,0.6666666666666666
6092,1,0,1,0.0,0,0,17.0,0.05882352941176471
6105,2,1,1,2.192024941576595,1,0,13.0,0.07692307692307693
6207,1,1,4,1.4205503881290915,0,0,31.0,0.06451612903225806
6260,2,0,1,2.2320667395779124,2,0,199.0,0.21105527638190955
6278,1,1,1,1.376167718898503,0,1,523.0,0.09560229445506692
6323,2,0,2,0.0,0,0,30.0,0.1
6364,1,0,1,1.5016738316463725,0,0,10.0,0.1
6428,2,0,1,0.0,0,0,38.0,0.21052631578947367
6442,3,1,1,1.4084902309637073,0,0,32.0,0.125
6478,1,2,1,1.4017794617775194,0,0,16.0,0.0625
6488,3,0,1,1.759629937870708,1,1,69.0,0.37681159420289856
6587,1,0,1,0.0,0,0,167.0,0.04790419161676647
6696,2,0,1,2.0509866833740906,0,0,7.0,0.2857142857142857
6817,1,6,1,1.6042877877098956,3,10,453.0,0.2163355408388521
6899,3,0,1,2.432933057259301,0,0,38.0,0.18421052631578946
7089,1,1,1,1.5406419755524081,2,1,274.0,0.13503649635036494
7115,2,0,1,1.6041369281688216,0,0,67.0,0.01492537313432836
7148,2,2,1,1.4857196488226574,0,3,279.0,0.0967741935483871
7197,2,1,1,1.5195141459186203,0,1,511.0,0.009784735812133072
